timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/12 02:12:07.831, 3, 14882, 96, 1500, 9501, 265.42, 74, 0x0000000000000004
2026/09/12 02:12:07.831, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:07.831, 5, 1, 0, 210, 405, 22.37, 36, 0x0000000000000001
2026/09/12 02:12:08.332, 0, 1, 0, 210, 405, 22.22, 36, 0x0000000000000001
2026/09/12 02:12:08.332, 1, 4, 0, 210, 405, 20.30, 40, 0x0000000000000001
2026/09/12 02:12:08.332, 2, 1, 0, 210, 405, 21.68, 36, 0x0000000000000001
2026/09/12 02:12:08.332, 3, 14884, 89, 1650, 9501, 279.70, 75, 0x0000000000000004
2026/09/12 02:12:08.332, 4, 1, 0, 210, 405, 24.30, 36, 0x0000000000000004
2026/09/12 02:12:08.332, 5, 1, 0, 210, 405, 22.25, 36, 0x0000000000000001
2026/09/12 02:12:08.833, 0, 1, 0, 210, 405, 22.22, 36, 0x0000000000000001
2026/09/12 02:12:08.833, 1, 4, 0, 210, 405, 19.69, 40, 0x0000000000000001
2026/09/12 02:12:08.833, 2, 1, 0, 210, 405, 21.68, 36, 0x0000000000000001
2026/09/12 02:12:08.833, 3, 14884, 94, 1560, 9501, 277.75, 74, 0x0000000000000004
2026/09/12 02:12:08.833, 4, 1, 0, 210, 405, 24.30, 36, 0x0000000000000004
2026/09/12 02:12:08.834, 5, 1, 0, 210, 405, 22.25, 36, 0x0000000000000001
2026/09/12 02:12:09.334, 0, 1, 0, 210, 405, 22.05, 36, 0x0000000000000001
2026/09/12 02:12:09.334, 1, 4, 0, 210, 405, 19.69, 40, 0x0000000000000001
2026/09/12 02:12:09.334, 2, 1, 0, 210, 405, 21.68, 36, 0x0000000000000001
2026/09/12 02:12:09.335, 3, 15170, 91, 1770, 9501, 280.24, 75, 0x0000000000000004
2026/09/12 02:12:09.335, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:09.335, 5, 1, 0, 210, 405, 22.41, 36, 0x0000000000000001
2026/09/12 02:12:09.835, 0, 1, 0, 210, 405, 22.46, 36, 0x0000000000000001
2026/09/12 02:12:09.836, 1, 4, 0, 210, 405, 19.59, 39, 0x0000000000000001
2026/09/12 02:12:09.836, 2, 1, 0, 210, 405, 21.68, 36, 0x0000000000000001
2026/09/12 02:12:09.836, 3, 15172, 98, 1590, 9501, 263.24, 76, 0x0000000000000020
2026/09/12 02:12:09.836, 4, 1, 0, 210, 405, 24.33, 36, 0x0000000000000004
2026/09/12 02:12:09.836, 5, 1, 0, 210, 405, 22.41, 36, 0x0000000000000001
2026/09/12 02:12:10.337, 0, 1, 0, 210, 405, 22.46, 36, 0x0000000000000001
2026/09/12 02:12:10.337, 1, 4, 0, 210, 405, 19.59, 39, 0x0000000000000001
2026/09/12 02:12:10.337, 2, 1, 0, 210, 405, 21.80, 36, 0x0000000000000001
2026/09/12 02:12:10.337, 3, 15172, 96, 1575, 9501, 264.89, 75, 0x0000000000000020
2026/09/12 02:12:10.337, 4, 1, 0, 210, 405, 24.36, 36, 0x0000000000000004
2026/09/12 02:12:10.338, 5, 1, 0, 210, 405, 22.31, 36, 0x0000000000000001
2026/09/12 02:12:10.838, 0, 1, 0, 210, 405, 22.50, 36, 0x0000000000000001
2026/09/12 02:12:10.838, 1, 4, 0, 210, 405, 19.47, 39, 0x0000000000000001
2026/09/12 02:12:10.838, 2, 1, 0, 210, 405, 21.80, 36, 0x0000000000000001
2026/09/12 02:12:10.839, 3, 15172, 96, 1575, 9501, 277.73, 75, 0x0000000000000004
2026/09/12 02:12:10.839, 4, 1, 0, 210, 405, 24.36, 36, 0x0000000000000004
2026/09/12 02:12:10.839, 5, 1, 0, 210, 405, 22.31, 36, 0x0000000000000001
2026/09/12 02:12:11.339, 0, 1, 0, 210, 405, 22.50, 36, 0x0000000000000001
2026/09/12 02:12:11.340, 1, 4, 0, 210, 405, 19.47, 39, 0x0000000000000001
2026/09/12 02:12:11.340, 2, 1, 0, 210, 405, 21.53, 36, 0x0000000000000001
2026/09/12 02:12:11.340, 3, 15172, 96, 1575, 9501, 279.29, 75, 0x0000000000000020
2026/09/12 02:12:11.340, 4, 1, 0, 210, 405, 24.24, 36, 0x0000000000000004
2026/09/12 02:12:11.340, 5, 1, 0, 210, 405, 22.23, 36, 0x0000000000000001
2026/09/12 02:12:11.841, 0, 1, 0, 210, 405, 22.10, 36, 0x0000000000000001
2026/09/12 02:12:11.841, 1, 4, 0, 210, 405, 19.39, 39, 0x0000000000000001
2026/09/12 02:12:11.841, 2, 1, 0, 210, 405, 21.53, 36, 0x0000000000000001
2026/09/12 02:12:11.841, 3, 15172, 97, 1560, 9501, 279.31, 75, 0x0000000000000004
2026/09/12 02:12:11.842, 4, 1, 0, 210, 405, 24.24, 36, 0x0000000000000004
2026/09/12 02:12:11.842, 5, 1, 0, 210, 405, 22.23, 36, 0x0000000000000001
2026/09/12 02:12:12.342, 0, 1, 0, 210, 405, 22.10, 36, 0x0000000000000001
2026/09/12 02:12:12.342, 1, 4, 0, 210, 405, 19.39, 39, 0x0000000000000001
2026/09/12 02:12:12.342, 2, 1, 0, 210, 405, 21.34, 36, 0x0000000000000001
2026/09/12 02:12:12.342, 3, 14878, 96, 1560, 9501, 279.57, 75, 0x0000000000000020
2026/09/12 02:12:12.342, 4, 1, 0, 210, 405, 24.23, 36, 0x0000000000000001
2026/09/12 02:12:12.342, 5, 1, 0, 210, 405, 22.22, 36, 0x0000000000000001
2026/09/12 02:12:12.843, 0, 1, 0, 210, 405, 21.96, 36, 0x0000000000000001
2026/09/12 02:12:12.843, 1, 4, 0, 210, 405, 19.41, 39, 0x0000000000000001
2026/09/12 02:12:12.843, 2, 1, 0, 210, 405, 21.34, 36, 0x0000000000000001
2026/09/12 02:12:12.843, 3, 14880, 63, 1680, 9501, 261.11, 75, 0x0000000000000020
2026/09/12 02:12:12.843, 4, 1, 0, 210, 405, 24.23, 36, 0x0000000000000001
2026/09/12 02:12:12.844, 5, 1, 0, 210, 405, 22.22, 36, 0x0000000000000001
2026/09/12 02:12:13.344, 0, 1, 0, 210, 405, 21.96, 36, 0x0000000000000001
2026/09/12 02:12:13.344, 1, 4, 0, 210, 405, 19.41, 39, 0x0000000000000001
2026/09/12 02:12:13.344, 2, 1, 0, 210, 405, 21.27, 36, 0x0000000000000001
2026/09/12 02:12:13.345, 3, 14882, 88, 1665, 9501, 264.44, 75, 0x0000000000000004
2026/09/12 02:12:13.345, 4, 1, 0, 210, 405, 24.50, 36, 0x0000000000000004
2026/09/12 02:12:13.345, 5, 1, 0, 210, 405, 22.13, 36, 0x0000000000000001
2026/09/12 02:12:13.845, 0, 1, 0, 210, 405, 22.09, 36, 0x0000000000000001
2026/09/12 02:12:13.846, 1, 4, 0, 210, 405, 19.28, 39, 0x0000000000000001
2026/09/12 02:12:13.846, 2, 1, 0, 210, 405, 21.27, 36, 0x0000000000000001
2026/09/12 02:12:13.846, 3, 14884, 89, 1665, 9501, 278.86, 74, 0x0000000000000004
2026/09/12 02:12:13.846, 4, 1, 0, 210, 405, 24.50, 36, 0x0000000000000004
2026/09/12 02:12:13.846, 5, 1, 0, 210, 405, 22.13, 36, 0x0000000000000001
2026/09/12 02:12:14.347, 0, 1, 0, 210, 405, 22.09, 36, 0x0000000000000001
2026/09/12 02:12:14.347, 1, 4, 0, 210, 405, 19.28, 39, 0x0000000000000001
2026/09/12 02:12:14.347, 2, 1, 0, 210, 405, 21.36, 36, 0x0000000000000001
2026/09/12 02:12:14.347, 3, 14884, 87, 1650, 9501, 279.42, 75, 0x0000000000000024
2026/09/12 02:12:14.348, 4, 1, 0, 210, 405, 24.30, 36, 0x0000000000000004
2026/09/12 02:12:14.348, 5, 1, 0, 210, 405, 22.15, 36, 0x0000000000000001
2026/09/12 02:12:14.848, 0, 1, 0, 210, 405, 22.25, 36, 0x0000000000000001
2026/09/12 02:12:14.848, 1, 4, 0, 210, 405, 19.30, 39, 0x0000000000000001
2026/09/12 02:12:14.849, 2, 1, 0, 210, 405, 21.36, 36, 0x0000000000000001
2026/09/12 02:12:14.849, 3, 14872, 91, 1620, 9501, 279.38, 75, 0x0000000000000004
2026/09/12 02:12:14.849, 4, 1, 0, 210, 405, 24.30, 36, 0x0000000000000004
2026/09/12 02:12:14.849, 5, 1, 0, 210, 405, 22.15, 36, 0x0000000000000001
2026/09/12 02:12:15.349, 0, 1, 0, 210, 405, 22.25, 36, 0x0000000000000001
2026/09/12 02:12:15.350, 1, 4, 0, 210, 405, 19.30, 39, 0x0000000000000001
2026/09/12 02:12:15.350, 2, 1, 0, 210, 405, 21.50, 36, 0x0000000000000001
2026/09/12 02:12:15.350, 3, 15162, 2, 1455, 9501, 262.89, 73, 0x0000000000000024
2026/09/12 02:12:15.350, 4, 1, 0, 210, 405, 24.13, 36, 0x0000000000000004
2026/09/12 02:12:15.350, 5, 1, 0, 210, 405, 22.26, 36, 0x0000000000000001
2026/09/12 02:12:15.851, 0, 1, 0, 210, 405, 22.19, 36, 0x0000000000000001
2026/09/12 02:12:15.851, 1, 4, 0, 210, 405, 19.37, 39, 0x0000000000000001
2026/09/12 02:12:15.851, 2, 1, 0, 210, 405, 21.50, 36, 0x0000000000000001
